city;;name;lon;lat
Jakarta; Indonesia;SPBU Pertamina COCO 31.134.01;10.690.025.328.381.600;-6.212.382.772.474.860
Jakarta; Indonesia;SPBU Pertamina COCO 31.134.02;10.691.806.316.289.500;-6.247.432.956.323.710
Jakarta; Indonesia;SPBU Pertamina COCO 31.136.02;10.686.778.456.935.100;-6.260.108.996.809.610
Jakarta; Indonesia;SPBU Pertamina COCO 31.137.01;10.686.246.729.999.900;-6.353.034.749.999.990
Jakarta; Indonesia;SPBU Pertamina COCO 31.139.02;1.069.146.841.158.310;-6.182.945.525.652.620
Jakarta; Indonesia;SPBU Pertamina 33-13402;10.691.250.950.315.900;-6.228.927.224.804.290
Jakarta; Indonesia;SPBU Pertamina 33-13401;10.694.128.204.372.100;-6.249.101.423.735.090
Jakarta; Indonesia;SPBU Pertamina 34-13101;10.687.371.611.756.800;-6.196.172.779.805.780
Jakarta; Indonesia;SPBU Pertamina 34-13808;10.688.873.590.140.900;-6.332.236.064.243.710
Jakarta; Indonesia;SPBU Pertamina 34-13805;10.691.670.278.386.600;-6.305.940.187.317.190
Jakarta; Indonesia;SPBU Pertamina 34-13503;10.688.219.712.504.900;-6.295.001.974.907.350
Jakarta; Indonesia;SPBU Pertamina 34-13504;10.688.449.770.000.000;-62.906.362
Jakarta; Indonesia;SPBU Pertamina 34-13102;10.685.617.364.999.900;-6.202.609.300.000.000
Jakarta; Indonesia;SPBU Pertamina 34-13103;1.068.574.335;-6.205.044.899.999.990
Jakarta; Indonesia;Shell;10.695.615.149.030.300;-6.175.919.698.652.980
Bogor; Indonesia;SPBU 34-16107;1.068.132.991;-66.188.463
Bogor; Indonesia;SPBU 34-16115;1.067.840.646;-65.947.641
Bogor; Indonesia;POM;106.807.647;-65.534.016
Bogor; Indonesia;;1.067.853.419;-66.403.074
Bogor; Indonesia;Shell;1.067.938.605;-65.622.422
Bogor; Indonesia;Pom Bensin;10.678.402.783.121.600;-6.594.796.852.027.270
Bogor; Indonesia;SPBU 34-16117;10.677.897.883.223.400;-6.597.801.656.927.870
Bogor; Indonesia;SPBU Pertamina;10.681.282.964.618.500;-6.612.872.232.186.880
Bogor; Indonesia;SPBU Pertamina;1.067.440.376.559.250;-6.573.098.709.012.590
Bogor; Indonesia;SPBU Semeru;10.678.148.823.104.900;-658.528.059.802.148
Bogor; Indonesia;SPBU Pertamina;10.683.507.383.377.900;-6.640.102.150.090.530
Bogor; Indonesia;SPBU Pertamina;10.678.180.458.959.600;-65.567.218.634.135.200
Bogor; Indonesia;SPBU 34.161.02;10.680.656.761.083.400;-6.578.725.057.346.210
Bogor; Indonesia;SPBU Batutulis;10.680.718.665;-662.044.405
Bogor; Indonesia;SPBU Pertamina;10.675.335.501.122.000;-6.572.599.056.308.160
